Human 	Homo sapiens	hsa	556	64	267	61	1	1	0	1	1	hsa	556	492	64	267	206	61
Rhesus monkey 	Macaca mulatta	mml	501	24	229	24	1	1	0	1	1	mml	501	477	24	229	205	24
House mouse 	Mus musculus	mmu	447	45	224	42	1	1	0	1	1	mmu	447	402	45	224	182	42
Norway rat 	Rattus norvegicus	rno	413	6	187	6	1	1	0	1	1	rno	413	407	6	187	181	6
Guinea pig 	Cavia porcellus	cpo	397	13	184	13	1	1	0	1	1	cpo	397	384	13	184	171	13
Rabbit 	Oryctolagus cuniculus	ocu	372	7	178	7	1	1	0	1	1	ocu	372	365	7	178	171	7
Dog 	Canis familiaris	cfa	447	46	206	29	1	1	0	1	1	cfa	447	401	46	206	177	29
Cow 	Bos taurus	bta	438	46	208	34	1	1	0	1	1	bta	438	392	46	208	174	34
Nine-banded armadillo 	Dasypus novemcinctus	dno	374	3	166	3	1	1	0	1	1	dno	374	371	3	166	163	3
Lesser hedgehog tenrec 	Echinops telfairi	ete	340	7	157	7	1	1	0	1	1	ete	340	333	7	157	150	7
Tasmanian devil 	Sarcophilus harrissii	sha	467	70	162	15	1	1	0	1	1	sha	467	397	70	162	147	15
Opossum	Monodelphis domestica	mdo	507	90	173	31	1	1	0	1	1	mdo	507	417	90	173	142	31
																		
Platypus	Ornithorhynchus anatinus	oan	398	142	148	52	1	1	0	1	1	oan	398	256	142	148	96	52
																		
Chicken 	Gallus gallus	gga	270	29	128	29	1	1	0	1	1	gga	270	241	29	128	99	29
Rock pigeon 	Columba livia	cli	253	15	120	15	1	1	0	1	1	cli	253	238	15	120	105	15
Zebra finch 	Taeniopygia guttata	tgu	252	6	108	6	1	1	0	1	1	tgu	252	246	6	108	102	6
American alligator 	Alligator mississippiensis	ami	272	10	112	10	1	1	0	1	1	ami	272	262	10	112	102	10
Western painted turtle 	Chrysemys picta bellii	cpi	292	18	122	18	1	1	0	1	1	cpi	292	274	18	122	104	18
Green anole lizard 	Anolis carolinensis	aca	263	20	118	19	1	1	0	1	1	aca	263	243	20	118	99	19
																		
Tropical clawed frog 	Xenopus tropicalis	xtr	251	3	96	3	1	1	0	1	1	xtr	251	248	3	96	93	3
																		
Zebrafish 	Danio rerio	dre	390	22	113	22	1	1	0	1	1	dre	390	368	22	113	91	22
																		
Catshark	Scyliorhinus torazame	sto	233	4	89	4	1	1	0	1	1	sto	233	229	4	89	85	4
																		
Sea squirt	Ciona intestinalis	cin	155	109	95	72	1	1	0	1	1	cin	155	46	109	95	23	72
																		
Florida lancelet 	Branchiostoma floridae	bfl	90	20	50	17	1	1	0	1	1	bfl	90	70	20	50	33	17
																		
Acorn worm 	Saccoglossus kowalevskii	sko	83	1	51	1	1	1	0	1	1	sko	83	82	1	51	50	1
Acorn worm 2 	Ptychodera flava	pfl	83	3	55	3	1	1	0	1	1	pfl	83	80	3	55	52	3
																		
Purple sea urchin 	Strongylocentrotus purpuratus 	spu	59	7	43	6	1	1	0	1	1	spu	59	52	7	43	37	6
Bar starfish 	Patiria miniata	pmi	58	0	40	0	1	1	1	1	1	pmi	58	58	0	40	40	0
																		
Fruit fly 	Drosophila melanogaster	dme	164	24	105	23	1	1	0	1	1	dme	164	140	24	105	82	23
Fruit fly 	Drosophila ananassae	dan	159	21	102	20	1	1	0	1	1	dan	159	138	21	102	82	20
Fruit fly 	Drosophila mojavensis	dmo	159	35	102	26	1	1	0	1	1	dmo	159	124	35	102	76	26
Yellow fever mosquito	Aedes aegypti	aae	117	16	70	9	1	1	0	1	1	aae	117	101	16	70	61	9
Longwing butterfly	Heliconius melpomene	hme	122	30	79	21	1	1	0	1	1	hme	122	92	30	79	58	21
Red flour beetle 	Tribolium castaneum	tca	182	77	85	30	1	1	0	1	1	tca	182	105	77	85	55	30
Cockroach	Blattella germanica	bge	143	36	87	28	1	1	0	1	1	bge	143	107	36	87	59	28
Common water flea 	Daphnia pulex	dpu	81	8	57	8	1	1	0	1	1	dpu	81	73	8	57	49	8
Black-legged tick 	Ixodes scapularis	isc	57	2	45	2	1	1	0	1	1	isc	57	55	2	45	43	2
																		
Roundworm 	Caenorhabditis elegans	cel	145	31	90	24	1	1	0	1	1	cel	145	114	31	90	66	24
Roundworm 	Caenorhabditis briggsae	cbr	185	37	88	23	1	1	0	1	1	cbr	185	148	37	88	65	23
Large roundworm 	Ascaris suum	asu	95	21	52	16	1	1	0	1	1	asu	95	74	21	52	36	16
																		
Polychaete worm 	Capitella teleta	cte	102	6	69	5	1	1	0	1	1	cte	102	96	6	69	64	5
Common brandling worm 	Eisenia fetida	efe	192	7	65	6	1	1	0	1	1	efe	192	185	7	65	59	6
Owl limpet 	Lottia gigantea	lgi	80	5	54	4	1	1	0	1	1	lgi	80	75	5	54	50	4
Pacific oyster 	Crassostrea gigas	cgi	151	22	74	22	1	1	0	1	1	cgi	151	129	22	74	52	22
Lingula	Lingula anatina	lan	104	3	51	3	1	1	0	1	1	lan	104	101	3	51	48	3
																		
												10899	1	9688	1211	5104	4285	819

