	06cutoff	05cutoff
Mir-150	8	7
Mir-483	8	4
Mir-146	7	5
Mir-8	6	6
Mir-499	6	0
Mir-506	4	4
Mir-425	4	3
Mir-33	4	2
Mir-139	4	2
Mir-192	4	1
Mir-590	4	1
Mir-187	4	0
Mir-144	3	3
Mir-459	3	3
Mir-375	3	2
Mir-551	3	1
Mir-208	3	1
Mir-191	2	2
Mir-340	2	2
Mir-430	2	2
Mir-541	2	2
Mir-325	2	2
Mir-489	2	2
Mir-451	2	1
Mir-223	2	1
Mir-338	2	1
Mir-194	2	0
Mir-147	1	1
Mir-203	1	1
Mir-184	1	1
Mir-145	1	1
Mir-21	1	1
Mir-202	1	1
Mir-149	1	1
Mir-155	1	1
Mir-544	1	1
Mir-493	1	1
Mir-330	1	1
Mir-219	1	1
Mir-132	1	1
Mir-96	1	1
Mir-126	1	1
Mir-615	1	1
Mir-1247	1	1
Mir-205	1	0
Mir-135	1	0
Mir-1912	1	0
Mir-15	1	0
Mir-190	1	0
Mir-31	1	0
Mir-7	1	0
Mir-599	1	0
Mir-26	1	0
Mir-328	1	0
Mir-653	1	0
Mir-224	1	0
Mir-885	1	0
